Date,Close/Last,Volume,Open,High,Low,Day
09/29/2020,493.48,3543193,489.5,496.29,486.53,150
09/30/2020,500.03,4634111,492.57,504.63,489.27,151
10/01/2020,527.51,8153710,506.03,529.55,503.6,152
10/02/2020,503.06,6071165,516.43,526.37,502.7,153
10/05/2020,520.65,4088069,506.8,520.99,501.7,154
10/06/2020,505.87,4199034,518.72,521.82,504.16,155
10/07/2020,534.66,7988683,518,536.49,515.82,156
10/08/2020,531.79,5386488,533.48,535,524.15,157
10/09/2020,539.44,4781259,537.83,544.28,535,158
10/12/2020,539.81,5391074,548.81,551.81,538.24,159
10/13/2020,554.09,5602498,540.56,557.65,537.2,160
10/14/2020,541.45,9510081,562.61,572.49,541,161
10/15/2020,541.94,5113126,545.52,551.22,535.1,162
10/16/2020,530.79,6347363,549.5,554.33,530.03,163
10/19/2020,530.72,7567506,537.07,541.8,525.38,164
10/20/2020,525.42,10047180,528.14,533.78,522.26,165
10/21/2020,489.05,17405710,501.03,506.85,488.25,166
10/22/2020,485.23,6997922,494.69,495.14,482,167
10/23/2020,488.28,4927862,488.11,490.06,481.35,168
10/26/2020,488.24,6186087,487.03,496.82,478.9,169
10/27/2020,488.93,3627175,490.01,490.49,482.93,170
10/28/2020,486.24,5992731,486.36,494,483.28,171
10/29/2020,504.21,11120690,488.5,513.9,479.34,172
10/30/2020,475.74,7813897,502.01,505.88,472.21,173
11/02/2020,484.12,4408193,478.87,486.3,475,174
11/03/2020,487.22,3690213,484.93,495.31,478.76,175
11/04/2020,496.95,5137330,495.36,507.73,493.98,176
11/05/2020,513.76,5372781,506.56,518.73,503.45,177
11/06/2020,514.73,4236349,515,515.21,502.51,178
11/09/2020,470.5,10419680,485.54,495.85,467.26,179
11/10/2020,480.24,8306142,470.95,484.6,463.41,180
11/11/2020,490.76,5460532,483,491.68,478.26,181
11/12/2020,486.77,5071155,491,496.52,480.43,182
11/13/2020,482.84,3006510,486.77,488.94,477.8,183
11/16/2020,479.1,3953563,480,485.58,477.3,184
11/17/2020,480.63,3698082,480.12,487.51,478.85,185
11/18/2020,481.79,3629237,481.95,488.61,477.72,186
11/19/2020,484.67,2254653,482,487.8,480.47,187
11/20/2020,488.24,4255924,485.22,494.76,481.57,188
11/23/2020,476.62,5416571,490.46,491.15,475.84,189
11/24/2020,482.88,3557894,478.84,484.05,475.89,190
11/25/2020,485,3598629,485.13,486.9,478.92,191
11/27/2020,491.36,2805762,486.58,493.25,481.85,192
11/30/2020,490.7,3530940,490.08,492.55,481.27,193
12/01/2020,504.58,5063234,492.34,509.47,491.98,194
12/02/2020,503.38,3028358,501.62,506.8,493.5,195
12/03/2020,497.52,2826116,502.99,508.77,496.04,196
12/04/2020,498.31,3666243,497.5,504.5,493.64,197
12/07/2020,515.78,4289293,500.01,517.76,497.77,198
12/08/2020,512.66,4228950,517.9,521.49,505.55,199
12/09/2020,493.6,4178768,510.53,514.5,491.29,200
12/10/2020,501.09,3018203,494.56,503.77,492.91,201
12/11/2020,503.22,3210928,495,503.34,494.85,202
12/14/2020,522.42,5770424,505.44,524.16,501.18,203
12/15/2020,519.78,3398209,518.5,524.7,513.56,204
12/16/2020,524.83,3682392,520.11,527.38,517.69,205
12/17/2020,532.9,3193377,529,535.49,526.44,206
12/18/2020,534.45,4502692,533.2,536.37,526.02,207
12/21/2020,528.91,3893964,530.05,532.62,521.15,208
12/22/2020,527.33,1908529,527.69,530.4,520.5,209
12/23/2020,514.48,2393187,524.76,526.32,514.2,210
12/24/2020,513.97,1143952,515.12,519.35,512.21,211
12/28/2020,519.12,2891867,516.43,523.66,507.13,212
12/29/2020,530.87,4022358,519.9,536.55,515.48,213
12/30/2020,524.59,1876286,530.13,533.26,523.69,214
12/31/2020,540.73,5392322,525.53,545.5,523.15,215
01/04/2021,522.86,4444407,539,540.8,515.09,216
01/05/2021,520.8,3133872,521.55,526.78,515.89,217
01/06/2021,500.49,5346210,511.97,513.1,499.5,218
01/07/2021,508.89,3686448,508.28,516.44,506.42,219
01/08/2021,510.4,2973949,511.31,513.24,504.51,220
01/11/2021,499.1,3812720,507.84,510.73,497.95,221
01/12/2021,494.25,5990425,500,501.09,485.67,222
01/13/2021,507.79,5032099,495.5,512.35,493.01,223
01/14/2021,500.86,4177357,507.35,514.5,499.58,224
01/15/2021,497.98,5895788,500,506.32,495.1,225
01/19/2021,501.77,12315810,501,509.25,493.54,226
01/20/2021,586.34,32637450,565.42,593.29,556.86,227
01/21/2021,579.84,11840630,582.45,588.75,570.4,228
01/22/2021,565.17,7550822,582.1,583.99,564.35,229
01/25/2021,556.78,7207329,567,569.75,548.65,230
01/26/2021,561.93,5023847,554.73,567.99,554.06,231
01/27/2021,523.28,8670277,550.71,556.42,515.73,232
01/28/2021,538.6,5968978,535.88,553.15,530.74,233
01/29/2021,532.39,4325264,538,541,530.18,234
02/01/2021,539.04,3547507,536.79,545.06,531.73,235
02/02/2021,548.16,3767569,542.01,555.48,538.94,236
02/03/2021,539.45,3172288,550.17,550.48,538.24,237
02/04/2021,552.16,5164537,539.81,559.48,537.51,238
02/05/2021,550.79,2376175,552.26,554.44,545.48,239
02/08/2021,547.92,2791721,555,555,543.7,240
02/09/2021,559.07,3703499,546,566,543,241
02/10/2021,563.59,3991264,562.5,566.65,553.46,242
02/11/2021,557.59,2730587,564.44,565.93,554.22,243
02/12/2021,556.52,2197128,556.94,561.25,550.85,244
02/16/2021,557.28,2624097,557.29,563.63,552.73,245
02/17/2021,551.34,2071590,550.99,555.25,543.03,246
02/18/2021,548.22,2457604,549,550,538.23,247
02/19/2021,540.22,2841457,548,548.99,538.81,248
02/22/2021,533.78,3078594,534.99,541.79,530.79,249
02/23/2021,546.15,4136532,525,548.54,518.28,250
02/24/2021,553.41,3245038,539.8,556.85,539.07,251
02/25/2021,546.7,4252879,550.27,556.48,535.75,252
02/26/2021,538.85,3755574,546.51,553.09,538,253
03/01/2021,550.64,3042180,545.57,552.14,542,254
03/02/2021,547.82,3042226,553.34,556.99,546.02,255
03/03/2021,520.7,5362443,545.93,548.01,517.81,256
03/04/2021,511.29,5034792,521.5,531.5,507.68,257
03/05/2021,516.39,5069973,511.98,517.76,498.79,258
03/08/2021,493.33,3981758,514.46,518.84,492.85,259
03/09/2021,506.44,3470042,507.31,513.11,503.82,260
03/10/2021,504.54,3771484,513.5,518.97,504.25,261
03/11/2021,523.06,4714469,512.21,530.24,510.71,262
03/12/2021,518.02,3981743,512.5,526.51,506.59,263
03/15/2021,520.25,3485519,516.32,520.73,508.03,264
03/16/2021,524.03,3238888,524.47,533.42,523.21,265
03/17/2021,524.44,2817376,522,528.37,514.3,266
03/18/2021,504.79,4096606,516.4,517.9,503.85,267
03/19/2021,512.18,4386360,504.96,513.19,501.63,268
03/22/2021,523.11,3360587,509.13,529.31,509.13,269
03/23/2021,535.09,5583461,529.87,543.12,529.4,270
03/24/2021,520.81,4102211,533.78,534.42,520,271
03/25/2021,502.86,4926764,516.99,518.53,497,272
03/26/2021,508.05,3467797,502.82,508.72,496.68,273
03/29/2021,513.95,3330049,505.66,518,504.4,274
03/30/2021,513.39,2418129,510.51,514.41,506.91,275
03/31/2021,521.66,3503111,515.68,528.13,515.44,276
04/01/2021,539.42,3938637,529.93,540.5,527.03,277
04/05/2021,540.67,3355904,540.01,542.85,529.23,278
04/06/2021,544.53,3474205,544.81,554.17,543.3,279
04/07/2021,546.99,2151319,543.5,549.64,541.45,280
04/08/2021,554.58,4309829,551.13,556.9,547.57,281
04/09/2021,555.31,2894034,552.69,556.9,547.11,282
04/12/2021,552.78,2944060,551.05,557.98,549.58,283
04/13/2021,553.73,2720344,557,559.75,550.3,284
04/14/2021,540.02,3740294,554.87,554.87,538.53,285
04/15/2021,549.22,3139050,544.17,553.49,542.66,286
04/16/2021,546.54,3209075,550.54,551.98,539.51,287
04/19/2021,554.44,4288715,546.9,556.44,545.53,288
04/20/2021,549.57,11257650,554.42,563.56,546.3,289
04/21/2021,508.9,22897450,508,515.46,503.6,290
04/22/2021,508.78,9061062,513.82,513.96,500.55,291
04/23/2021,505.55,7314659,509.01,509.7,500.7,292
04/26/2021,510.3,4388839,506.76,510.48,503,293
04/27/2021,505.55,3761327,512.62,512.99,504.58,294
04/28/2021,506.52,3192983,505.2,508.4,503.34,295
04/29/2021,509,5127792,507.6,509.29,499,296
04/30/2021,513.47,4413242,505,514.55,505,297
05/03/2021,509.11,4091895,512.65,518.95,505.2,298
05/04/2021,503.18,4349502,510.78,511.63,496.79,299
05/05/2021,496.08,3129366,504.99,507.78,494.63,300
05/06/2021,499.55,3783698,495.99,499.55,491.37,301
05/07/2021,503.84,3132786,504.62,508.55,501.12,302
05/10/2021,486.69,5131632,502,503.15,486.11,303
05/11/2021,495.08,4401000,479.75,497.99,478.63,304
05/12/2021,484.98,4121540,486.83,493.54,482.7,305
05/13/2021,486.66,2716561,489.13,490.78,482.71,306
05/14/2021,493.37,2882464,487.86,494.85,486.59,307
05/17/2021,488.94,2701057,485.59,492.71,482.81,308
05/18/2021,486.28,2350496,488.4,493.48,486.19,309
05/19/2021,487.7,3349930,481.63,488.57,478.54,310
05/20/2021,501.67,3721218,489.55,502.7,488.98,311
05/21/2021,497.89,3322925,503.12,505.4,497.26,312
05/24/2021,502.9,2412595,501.05,504.25,499.51,313
05/25/2021,501.34,2699459,506,506.37,499.22,314
05/26/2021,502.36,2465303,502.34,504.14,500.5,315
05/27/2021,503.86,3253773,501.8,505.1,498.54,316
05/28/2021,502.81,2911297,504.4,511.76,502.53,317
06/01/2021,499.08,2482555,504.01,505.41,497.74,318
06/02/2021,499.24,2268979,499.82,503.22,495.82,319
06/03/2021,489.43,3887445,495.19,496.66,487.25,320
06/04/2021,494.74,3160487,492,501.86,490.95,321
06/07/2021,494.66,2791932,492.92,496.7,490.55,322
06/08/2021,492.39,2374037,497,498.82,489.37,323
06/09/2021,485.81,3055029,494.5,496.09,484.65,324
06/10/2021,487.27,4382928,487.17,490.21,482.14,325
06/11/2021,488.77,3123969,490,491.41,487.78,326
06/14/2021,499.89,4400222,489.68,503.5,486.91,327
06/15/2021,491.9,3104073,501.23,501.23,490.4,328
06/16/2021,492.41,3533206,495,496.46,486.28,329
06/17/2021,498.34,3198273,490.25,501.8,490.15,330
06/18/2021,500.77,5197576,496.4,504.49,495.24,331
06/21/2021,497,5277297,501.64,502.05,492.28,332
06/22/2021,508.82,5809271,498.54,513.55,495.8,333
06/23/2021,512.74,3944782,508.48,516.63,508.2,334
06/24/2021,518.06,3361202,517.96,520.96,514.4,335
06/25/2021,527.07,5299072,528.84,533.06,525,336
06/28/2021,533.03,2820227,528.12,533.94,524.56,337
06/29/2021,533.5,2314647,533.55,536.13,528.57,338
06/30/2021,528.21,2773445,534.06,534.38,526.82,339
07/01/2021,533.54,2805402,525.72,537.04,525.72,340
07/02/2021,533.98,1980316,535.5,538.54,529.39,341
07/06/2021,541.64,2775051,533,542.86,533,342
07/07/2021,535.96,2722498,544.24,544.64,531.66,343
07/08/2021,530.76,3268988,530.93,535.5,529.09,344
07/09/2021,535.98,2777231,531,538.26,528.58,345
07/12/2021,537.31,1780738,540.3,540.65,532.92,346
07/13/2021,540.68,2751593,535.76,545.33,535.76,347
07/14/2021,547.95,4659535,541.01,554.1,541.01,348
07/15/2021,542.95,5713873,553.97,557.54,538.2,349
07/16/2021,530.31,3442101,541.81,544.06,527.05,350
07/19/2021,532.28,3885764,526.05,534.91,522.24,351
07/20/2021,531.05,6930440,526.07,536.64,520.3,352
07/21/2021,513.63,11906790,526.13,530.99,505.61,353
07/22/2021,511.77,4328061,510.21,513.68,507,354
07/23/2021,515.41,3820478,512.16,517.41,504.66,355
07/26/2021,516.49,2254538,514.38,521.13,509.01,356
07/27/2021,518.91,2759037,518.08,521.95,512.05,357
07/28/2021,519.3,2390466,521.82,524.47,516.98,358
07/29/2021,514.25,1736014,519.96,520.78,513.79,359
07/30/2021,517.57,2537107,512.69,519.79,510.96,360
08/02/2021,515.15,2096632,519,519.85,510.51,361
08/03/2021,510.82,2579427,514.39,515.63,505.37,362
08/04/2021,517.35,2039374,513,517.98,510.37,363
08/05/2021,524.89,2556687,517.13,525.41,514.02,364
08/06/2021,520.55,1919798,524,526.84,519.39,365
08/09/2021,519.97,1367782,521.15,522.67,517.99,366
08/10/2021,515.84,1960544,520,520.79,512.97,367
08/11/2021,512.4,1673904,517,519.57,509.77,368
08/12/2021,510.72,1686170,511.86,513,507.2,369
08/13/2021,515.92,2177736,512.64,521.44,511.51,370
08/16/2021,517.92,2033176,515.24,523.38,512.3,371
08/17/2021,518.91,2309803,515.47,520.79,514.2,372
08/18/2021,521.87,2582046,520,526.38,518.65,373
08/19/2021,543.71,7497292,522.74,548.39,521.87,374
08/20/2021,546.88,3776429,545.09,551.39,539.1,375
08/23/2021,553.33,2602010,545.98,555.55,543.74,376
08/24/2021,553.41,2109525,551.48,555.31,549.27,377
08/25/2021,547.58,2065621,550.16,552.84,545.45,378
08/26/2021,550.12,1595499,546.16,552.6,545.9,379
08/27/2021,558.92,3252595,551.6,564.17,549.25,380
08/30/2021,566.18,2434839,557.25,567.16,556.45,381
08/31/2021,569.19,2431886,566.12,569.48,561.61,382
09/01/2021,582.07,5626214,569,591,569,383
09/02/2021,588.55,6184782,583.68,598.76,583.68,384
09/03/2021,590.53,2684005,585.8,591.88,583.14,385
09/07/2021,606.71,5830979,594.69,613.85,593.99,386
09/08/2021,606.05,5424503,603.84,615.6,595.71,387
09/09/2021,597.54,2954214,606.47,609.44,596.55,388
09/10/2021,598.72,3950764,598.16,609.45,593.67,389
09/13/2021,589.29,3062871,598.57,598.57,582.78,390
09/14/2021,577.76,3456958,584.89,587.28,575.56,391
09/15/2021,582.87,2755615,578.17,584.62,575.37,392
09/16/2021,586.5,1832028,584.3,587.48,577.72,393
09/17/2021,589.35,4145145,587.85,590.28,580.85,394
09/20/2021,575.43,3732227,586.79,591.53,568.08,395
09/21/2021,573.14,2250884,578.31,581.88,569.37,396
09/22/2021,590.65,4021845,579.69,595.65,579.69,397
09/23/2021,593.26,2526161,590.79,599.32,589.13,398
09/24/2021,592.39,2126246,592.5,592.98,583.64,399
09/27/2021,592.64,2504738,587.95,593.58,576.93,400
09/28/2021,583.85,4431051,589,599.54,580.16,401
09/29/2021,599.06,6221026,589.01,609.88,588.01,402
09/30/2021,610.34,6616040,608.05,619,608.05,403
10/01/2021,613.15,4090847,604.24,614.99,597.51,404
10/04/2021,603.35,4995932,613.39,626.13,594.68,405
10/05/2021,634.81,9534293,606.94,640.39,606.89,406
10/06/2021,639.1,4580434,628.18,639.87,626.36,407
10/07/2021,631.85,3556886,642.23,646.84,630.45,408
10/08/2021,632.66,3272093,634.17,643.8,630.86,409
10/11/2021,627.04,2862470,633.2,639.42,626.78,410
10/12/2021,624.94,3227349,633.02,637.66,621.99,411
10/13/2021,629.76,2424638,632.18,632.18,622.1,412
10/14/2021,633.8,2672535,632.23,636.88,626.79,413
10/15/2021,628.29,4116874,638,639.42,625.16,414
10/18/2021,637.97,4669071,632.1,638.41,620.59,415
10/19/2021,639,7633147,636.97,641,632.3,416
10/20/2021,625.14,10622000,625.57,637.4,617.15,417
10/21/2021,653.16,8437070,628.89,654.01,628.65,418
10/22/2021,664.78,6186016,651.81,665.46,651.81,419
10/25/2021,671.66,3833526,663.74,675.88,657.07,420
10/26/2021,668.52,2904840,673.76,676.49,662.77,421
10/27/2021,662.92,2276914,669,671.41,661.85,422
10/28/2021,674.05,2859409,670.95,676.8,668.03,423
10/29/2021,690.31,3825279,673.06,690.97,671.24,424
11/01/2021,681.17,3110911,689.06,689.97,676.54,425
11/02/2021,677.72,3888597,683.11,687.68,673.82,426
11/03/2021,688.29,2334852,677.27,689.39,677.27,427
11/04/2021,668.4,4865023,685.89,685.94,665.5,428
11/05/2021,645.72,5283488,663.97,665.64,645.01,429
11/08/2021,651.45,2887523,650.29,656,643.79,430
11/09/2021,655.99,2415630,653.7,660.5,650.52,431
11/10/2021,646.91,2405785,653.01,660.33,642.11,432
11/11/2021,657.58,2868311,650.24,665.82,649.71,433
11/12/2021,682.61,4198410,660.01,683.34,653.82,434
11/15/2021,679.33,2872186,681.24,685.26,671.49,435
11/16/2021,687.4,2077387,678.27,688.36,676.9,436
11/17/2021,691.69,2732831,690,700.99,686.09,437
11/18/2021,682.02,2014992,691.61,691.74,679.74,438
11/19/2021,678.8,2614852,692.35,694.16,675,439
11/22/2021,659.2,2765318,676.02,679.48,656.47,440
11/23/2021,654.06,2320917,658.18,666.43,646.05,441
11/24/2021,658.29,1867282,658.01,661.44,651.1,442
11/26/2021,665.64,2872513,675,676.41,660.67,443
11/29/2021,663.84,2529364,663.2,667.99,658.29,444
11/30/2021,641.9,5608919,668.2,675.38,640.01,445
12/01/2021,617.77,3897019,649.48,654.52,617.07,446
12/02/2021,616.47,3331131,617.1,625.36,612.88,447
12/03/2021,602.13,4829282,622.75,625.5,594,448
12/06/2021,612.69,3075672,606.01,617.29,601,449
12/07/2021,625.58,3125190,619.83,628.89,611.4,450
12/08/2021,628.08,2220308,630,632.46,623.2,451
12/09/2021,611,2376321,627.58,630.24,610.44,452
12/10/2021,611.66,2748774,616.78,617.74,605.88,453
12/13/2021,604.56,2517915,612,612.64,599.52,454
12/14/2021,597.99,2984536,598.71,602.29,588.13,455
12/15/2021,605.04,2866196,598.18,605.69,584.51,456
12/16/2021,591.06,3143217,597.09,602.83,588,457
12/17/2021,586.73,4433706,591.61,593.25,581.74,458
12/20/2021,593.74,3358404,586.43,602.88,584.26,459
12/21/2021,604.92,2319390,597.54,607.82,593.86,460
12/22/2021,614.24,2335745,603.36,614.82,602.63,461
12/23/2021,614.09,1621146,616.4,616.88,607.57,462
12/27/2021,613.12,2062233,615,615,609.25,463
12/28/2021,610.71,1884116,614.95,618.41,609.69,464
12/29/2021,610.54,1287513,610.71,613.98,604.68,465
12/30/2021,612.09,1625093,612.99,620.61,611.24,466
12/31/2021,602.44,1995918,610.01,614.08,602.05,467
01/03/2022,597.37,3068808,605.61,609.99,590.56,468
01/04/2022,591.15,4393135,599.91,600.41,581.6,469
01/05/2022,567.52,4148749,592,592.84,566.88,470
01/06/2022,553.29,5711795,554.34,563.36,542.01,471
01/07/2022,541.06,3382873,549.46,553.43,538.22,472
01/10/2022,539.85,4486145,538.49,543.69,526.32,473
01/11/2022,540.84,3077836,536.99,543.91,530.07,474
01/12/2022,537.22,3787372,544.27,544.27,532.02,475
01/13/2022,519.2,4475063,537.06,540.79,518.26,476
01/14/2022,525.69,7861109,517.6,538.37,511.88,477
01/18/2022,510.8,4844418,520.08,521.75,508.68,478
01/19/2022,515.86,4353508,515,523.21,510.51,479
01/20/2022,508.25,12658990,517.75,526.64,506.93,480
01/21/2022,397.5,58904270,400.43,409.15,379.99,481
01/24/2022,387.15,32386780,383.91,387.26,351.46,482
01/25/2022,366.42,15145820,379.14,387.71,365.13,483
01/26/2022,359.7,12683980,378.27,382.66,356.62,484
01/27/2022,386.7,24324750,382.06,394.8,378.1,485
01/28/2022,384.36,11966610,386.76,387,372.08,486
01/31/2022,427.14,20047450,401.97,427.7,398.2,487
02/01/2022,457.13,22568100,432.96,458.48,425.54,488
02/02/2022,429.48,14346010,448.25,451.98,426.48,489
